riddle,choice0,choice1,choice2,choice3,choice4,label
自由散漫少鱼书 （海产品）,蛤蜊,海鲫鱼,石斑,沙鳗,马鲛,3
一口坛子三道箍，里面装满白豆腐 （果蔬）,山药,白萝卜,莲藕,荸荠,芋头,3
曾子师也 （古官名）,师长,应征入伍,上前线,参军,守备,3
万紫千红总是春 （花卉树木）,荷兰菊,五针松,重瓣,一串红,丰花月季,4
似是而非 （三字电影）,活龙活现,绿青蛙,儿童简笔画,花大姐,象不象,4
子建因何成高才 （叶圣陶作品）,老通宝,鲁迅小说,社戏,孔乙己,多收了三五斗,4
一心想暴富 （打四字常言）,偷偷,无意间,鬼使神差,恶作剧,突发奇想,4
脚穿钉鞋走无声，不爱吃素爱吃腥，白天无事打瞌睡，半夜觅食不点灯。 （打一动物）,猫,兔子,狗,喵喵,小橘,0
喜剧演员开场白 （打六字俗语）,耍花样,丑话说在前头,一笔勾销,这么着,休怪,1
竹做身，毛做头，乌盆里尝鲜，白纸上嬉游。 （打一物品）,印泥,墨锭,砚台,描红本,毛笔,4
厉兵秣马须提防 （称谓职务）,特殊部队,歹徒,勤务兵,守卫,武装警察,4
小小金丸树上挂，身披黄袍皮肉薄；轻轻把它咬一咬，润肺止咳效果好。 （打一水果）,枇杷,青枣,芦柑,梨,杨梅,0
炎日底下，有人游亭，走了许久，并没出亭。 （打一物）,扇子,披肩,草帽,阳伞,帆布,3
小李广回乡 （打一成语）,远走他乡,扬眉吐气,荣归故里,一鸣惊人,的幸福生活,2
十年未改旧官职 （打一成语）,郑重其事,几百遍,原封不动,掰开揉碎,一五一十,2
千树万树梨花开 （中药名）,官桂,广木香,苏梗,延胡索,炒白芍,1
晔 （古代典籍）,江表志,叶奕苞,文体明辨,华阳集,东观奏记,3
嘴儿尖尖个儿长，经常活动在操场，说它是枪没子弹，发射出去扎地上。 （打一运动器材）,标枪,斧头,短矛,镰刀,长弓,0
西瓜地里散步 （打一成语）,左右逢源,长袖善舞,平步青云,人情练达,如鱼得水,0
背是木板肚是毡，黑板卫生它承担，粉笔板上写又画，它走一遍全不见。 （打一物）,橡皮,黑板擦,粉笔,值日生,课代表,1
一言以蔽之 （打俗语四字）,央求,大喜过望,连滚带爬,二话没说,赶忙,3
岳父恰是上司 （打一成语）,暴风骤雨,雷霆万钧,泰山压顶,腾云驾雾,天崩地裂,2
圆头细眼睛，临风一身轻，爱在枝上叫，又响又好听。 （打一动物）,斑鸠,知了,蝉,麻雀,秋虫,1
出言肤浅 （中药名）,陈皮,冰糖,生姜,乌梅,甘草,0
长门献赋 （古文篇名）,过秦论,资治通鉴,唐雎不辱使命,陈情表,谏太宗十思疏,3
老有所为 （称谓职务）,临时代办,陈冯富珍,总干事,执委会,首席检察官,2
慢慢来访 （打成语一）,狐狸,去而复返,不速之客,四处张望,红衣少女,2
有圆也有方，有大也有小，平面光又亮。 （打一物）,镜子,台灯,窗户,天花板,墙壁,0
打开部分，重新安排 （地方称谓）,古德,狐狸,比萨,奈斯,阿拉,4
允许双方调换 （打二字称谓）,兄台,老衲,尊驾,令郎,高姓大名,0
致富之源 （常言俗语三字）,以人为本,显而易见,出发点,不一定,角度,2
七十岁入党 （花卉树木）,老来红,棠梨,送春,花枝俏,昂天莲,0
像桃不是桃，肚里长白毛，剖开毛来看，还有小黑桃。 （打一植物）,棉花,小麦,油菜籽,豆类作物,玉米,0
钢架高高耸入云，日夜工作静无声，无线电波传四方，万物再现荧光屏。 （打一物）,人行天桥,翠华路,喜来登,新城广场,电视塔,4
一见钟情山海盟 （通信用品品牌）,爱立信,朗讯,阿里巴巴,上海贝尔,东芝,0
来回踱步 （打鲁迅著作名一）,若有所失,苦痛,怅惘,欲说还休,彷徨,4
明 （打成语一）,一朝一夕,日积月累,三天打鱼，两天晒网,潜移默化,慢慢的我,1
站着一尺高，躺着十寸长，裁衣做数学，它会帮你忙。 （打一物）,圆规,尺子,三角板,裁纸刀,铅笔,1
眼下只认甲乙丙 （打一成语）,出口成章,胸无点墨,目不识丁,迂腐,圣贤书,2
言之有物 （打一成语）,扯闲篇,张家长李家短,言不及义,说东道西,高谈阔论,3
只识弯弓射大雕 （报刊名）,辛亥首义,崇尚荣誉,血性本色,精武,少林寺,3
丛林荒野到处跑，牙齿尖尖穿皮袍，夜里两眼发绿火，吃肉喝血性残暴。 （打一动物）,鬣狗,野兽,老虎,狼,豹子,3
人谈如菊 （打一古代称谓）,书生,隐士,逍遥,游历天下,圣人,1
好 （打成语一）,单身贵族,男女平等,婚恋自由,阴盛阳衰,一夫多妻,1
痴意缘因心病生 （打一报刊名）,知音,曲高和寡,当歌,同醉,花间一壶酒,0
往来无白丁 （打一称谓）,驻日大使,首相,外交官,毕德格,总统,2
一至于此 （打成语一）,独到之处,精妙,首屈一指,不同凡响,别出机杼,0
怀想忐忑心不安 （打一成语）,不相上下,并驾齐驱,数一数二,出奇,同属,0
而强者居之 （聊斋志异篇目）,江表志,窝匪,盗户,明通鉴,唐牛儿,2
小时罩黑套，大时换白袍，造间小圆屋，关门睡大觉。 （打一动物）,蚕,蟾蜍,蟒,蜈蚣,蚌,0
有眼无珠睁眼瞎 （打成语一）,得过且过,置之不理,依然故我,自以为是,熟视无睹,4
疙瘩屋，疙瘩被，疙瘩孩子疙瘩睡，要吃疙瘩需用锤，吃着疙瘩香又脆。 （打一物）,松籽,南瓜子,红枣,核桃,花生,3
圆脸腹中空，皮厚不怕揍，你若去打他，到多只叫“痛”。 （打一乐器）,二弦,铃,鼓,怪音,风锣,2
高高秃树吊个瓜，白天结果夜开花。 （打一物）,电线杆,绿化带,人行道,路灯,窗户,3
一只瘦长小黑狗，一动两头都开口，一头咬住柴和炭，一头咬着你的手。 （打一物品）,耙,灶膛,风箱,火钳,炉子,3
不想第二胎 （歌曲名）,老情歌,一生何求,恋曲1990,寂寞沙洲冷,风中的承诺,1
口 （打一成语）,若有所思,自顾自,不置可否,含笑,哦了,2
不逗人笑的相声 （打成语一）,危言耸听,无稽之谈,不足为凭,捏造,自相矛盾,1
姑娘乘凉把灯带，一闪一闪真可爱。 （打一动物）,繁星,萤火虫,飞蛾,月亮,蝴蝶,1
远看像座庙，近看无老道，观音钻进去，童子两头跑。 （打一物）,马车,吹吹打打,轿子,李府,家丁,2
马上获奖 （五字电影）,以眼还眼,骑士的荣誉,兰斯洛特,生死决斗,背叛者,1
一叶落而知秋 （打一外国小说名）,飘,纷纷扬扬,浪花,冉冉,随风,0
爹穿蓑衣，娘穿皮衣，儿穿绸衣，爹开口，儿子要逃走。 （打一植物）,核桃,南瓜,花生,红薯,栗子,4
小小一枝杖，水里生来水里有，若有哪个猜得着，算他仙人曹国舅。 （打一植物）,茭白,茨菇,冬笋,藕,荸荠,3
遥望文君展才智 （打一成语）,雄才大略,政治家,英明果断,远见卓识,审时度势,3
钮 （中药名）,胆南星,血竭,冰片,牛黄,五灵脂,3
娘子娘子，身似盒子。麒麟剪刀，八个钗子（打一动物名）,螺类,龙虾,黑鱼,蟹,鳗,3
九九归一 （打一中草药名）,菊花,百合,麦冬,莲子,玉竹,1
洞里一条红蚯蚓，冷时收缩热时伸，增产粮食搞科研，请它当个小顾问 （医疗器械）,听诊器,温度计,加热套,寒暑表,烘箱,1
空港关闭 （打成语一）,防患未然,各个击破,无机可乘,滋生,猫鼠一家,2
小来青青老来黄，入不得厅堂，进不得绣房。 （打一物）,靰鞡,布靴,蓑衣,木屐,草鞋,4
大头照 （打二字称谓）,近卫文麿,驻日大使,内阁总理,王储,首相,4
面见备注 （打一称谓）,农村姑娘,女大学生,打工妹,三陪小姐,白领丽人,2
心有千千结 （打一唐诗目）,徐夤,集灵台,渭川田家,桃源行,李正封,1
秋色静无声 （四字俗语）,你瞒我瞒,笑看风云,言多必失,沉默是金,难得糊涂,3
一封书把贼兵破 （打一小说名）,说岳全传,荡寇志,水浒,梁山故事,许仲琳,1
长耳短尾走路跳，红眼白毛遇敌跑。用奶喂养小宝宝，长大爱吃菜和草。 （打一动物）,青蛙,小白兔,大灰狼,狐狸先生,长颈鹿,1
山姆大叔 （中国电影）,菊花禅,巴金传,2013年中国诗歌排行榜,美的呼唤,烽烟图,3
籽像药丸，花像牡丹，枝像桃树，果像橄榄。 （打一植物）,一串红,夹竹桃,凤仙花,木芙蓉,美人蕉,2
千金闲置 （打一称谓）,金发碧眼,勤务兵,女秘书,空中小姐,牛春龙,3
瞎子摸象 （打成语一）,目光短浅,不识大体,心胸狭窄,鸡肠小肚,胡搅蛮缠,1
违抗君命 （五字电影）,暴风中的雄鹰,水上春秋,大漠紫禁令,最后一个冬日,绿海天涯,2
天价楼市将跌 （打一成语）,泰山压顶,严阵以待,居高临下,气势汹汹,不可一世,2
空载 （称谓职务）,少年,意气风发,天真烂漫,高中生,青涩,0
余 （打一成语）,急于求成,灰心丧气,拖拖拉拉,半途而废,愈挫愈勇,3
烧之经久不熟 （五字电影）,高山下的花环,青春之歌,烈火中永生,红旗谱,平原游击队,2
白天睡，晚上行，屁股上面挂星星。 （打一动物）,萤火虫,飞蛾,月亮,蝴蝶,繁星,0
封面 （打一成语）,出名,王傻子烧鸡,讨人喜欢,其貌不扬,一无是处,3
田赋 （打一成语）,画中有诗,写境,意在言外,情韵,迁想妙得,0
夜半钟声到客船 （商标品牌商号）,喜之郎,惠而浦,太太乐,美的电器,苏泊尔,4
王母娘娘蟠桃会 （打一成语）,聚精会神,侧耳倾听,正用,目不转睛,自顾自,0
顾臣于草庐之中，咨臣以当世之事 （七字谚语）,祸从口出,言多必失,逢人只说三分话,君子之交淡如水,未可全抛一片心,2
夏夜对弈 （打成语一）,层峦叠嶂,星罗棋布,碧波荡漾,相映成趣,一望无涯,1
三过其门而不入 （打一俗称谓）,老外,美籍华人,说中文,土包子,印度英语,0
头插野鸡毛，身穿滚龙袍，一旦遇敌人，作战呱呱叫（打一动物名）,纺织娘,斑鸠,蛐蛐,蟋蟀,布谷鸟,3
纸上谈兵 （古文篇名）,陈情表,唐雎不辱使命,资治通鉴,过秦论,谏太宗十思疏,0
圆圆浆果色泽艳，草龙珠儿味道甜。 （打一水果）,草莓,红提,石榴,樱桃,葡萄,4
潜匿 （歌名）,祖国颂,牡丹之歌,在那桃花盛开的地方,大海啊故乡,九九艳阳天,2
新妃开言扇羽遮 （打一古代小说）,世说新语·惑溺,江表志,朱买臣传,才多识寡,妒记,4
羽毛鲜艳尖嘴巧，鸟儿当中它最小，身子只有野蜂大，飞行本领却很高。 （打一动物）,蜂鸟,雀鹰,伯劳,跳蛛,蜻蜓,0
白天草丛呆，夜晚空中游。一盏小灯笼，挂在身后头。 （打一动物）,月亮,萤火虫,飞蛾,蝴蝶,繁星,1
不足为外人道也 （纺织品）,军章,船形帽,卡其布,工作服,皮鞋,2
万里共清辉 （歌曲名）,不必在乎我是谁,恋曲1990,何日君再来,漫步人生路,一样的月光,4
满腹是文章，大字却不识，有手没有脚，只会抱着人。 （打一物）,书包,背篓,作业本,文具盒,上学,0
年年观潮人不同 （打一歌曲名）,涛声依旧,梦醒时分,漫步人生路,往事只能回味,故乡的云,0
吸血鬼，到处有，耐饥群居夜出没。 （打一昆虫）,苍蝇,壁虎,大老鼠,臭虫,蟑螂,3
照镜子 （打一成语）,全情投入,自我欣赏,唱高调,活出幸福,人云亦云,1
嘴尖尾巴长，钻洞上房梁，白天不见面，晚上游四方。 （打一动物）,兔子,狐狸,臭鼬,青蛙,老鼠,4
赛仁贵一怒欺百姓 （打一成语）,目空一切,骄矜,盛气凌人,装腔作势,蛮横无理,2
腹内香甜如蜜，心中花红柳绿，白沙滩上打滚，清水河中沐浴。 （打一食物）,除夕之夜,汤圆,月饼,看花灯,元宵,4
胸怀全球 （打俗语四字）,灵与肉,情感,内心世界,真实自我,字里行间,2
身穿绿色衫，头戴五花冠。喝的清香酒，唱如李翠莲（打一动物名）,蛐蛐,草儿,蟋蟀,蝈蝈,山菊,3
九死一生 （中药名）,桔梗,白小娘,鹰不泊,独活,续断,3
红毛小子四方密，拆开房子见黄丸。 （打一食物）,花生,南瓜,红薯,核桃,栗子,4
一条带儿细又长，开动机器它又忙，你作报告它记录，一字一句不走样 （电讯用具）,口琴,录音机,喇叭,电铃,吉他,1
雉科家族它身小，身披褐袍的小鸟。 （打一动物）,鸭子,鹌鹑,鹿肉,鸡,猪蹄,1
娃子常把胭脂擦，擦了胭脂去印花，办事他能代表你，一有大事就请他。 （打一物）,大明宣德年制,毛笔,器物,印章,信封,3
惟有佳作得留传 （打一书名）,延安一月,林译小说,鲁迅全集,独秀文存,巴金传,3
还俗 （打成语一）,世俗,离经叛道,荒诞,特立独行,自命不凡,1
青枝绿叶开白花，秋来黄梁枝上挂，庭院窗前栽一盆，中供观果不观花。 （打一植物）,金桔,无花果,青枣,黄桃,枇杷,0
明月照我把家还 （打一歌曲名）,九九艳阳天,望星空,上学歌,妹妹找哥泪花流,月亮走我也走,4
多看无滋味（打一成语）,奶粉门,比比皆是,大有人在,常常,屡见不鲜,4
危楼高百尺 （打一成语）,摇摇欲坠,伤痕累累,危在旦夕,化为乌有,跌落,0
加起来十一种彩 （打一成语）,花花绿绿,五颜六色,斑澜,汽球,彩灯,1
见字如面 （打成语一）,雅俗共赏,诗社,自娱,笔下生花,以文会友,4
金灿灿，银闪闪，一到中秋香气散，用它酿酒请宾客，用它浸渍供美餐。 （打一植物）,十里香,山茶,桂花,白梅,茉莉,2
狐狸戴面具 （打成语一）,无耻下流,薄情寡义,人面兽心,伪君子,十恶不赦,2
爪 （四字常言）,手到擒来,话下,易如反掌,驾轻就熟,十拿九稳,0
春风杨柳万千条，六亿神州尽舜尧 （旧称谓）,八大王,草莽英雄,恶少,江湖侠客,绿林好汉,4
小小年纪，胡子满把，客人来到，喊声“妈妈”。 （打一动物）,羊,猪,鹅,鸡,马肉,0
主观与客观 （打一成语）,左顾右盼,鬼头鬼脑,蹦蹦跳跳,东张西望,心不在焉,3
光年 （花名）,五针松,盘古斧,量天尺,七星剑,地火,2
仰泳比赛 （打一成语）,四面楚歌,非赢不可,虽败犹荣,背水一战,胜利在望,3
圳 （打成语一）,改土归流,明朝,节度使,宣政院,达鲁花赤,0
一树不太高，长叶无枝条，开花开在梢，结果结在腰。 （打一农作物）,水稻,大豆,小麦,高粱,玉米,4
老翁逾墙走 （动物名）,蓝团鱼,负尸,避役,守宫,蛸科,2
有翅没毛，爬得高高，不吃粮草，高声大叫。 （打一动物）,蝉,鸟,蝈蝈,知了,黄雀,0
一个 （打一成语）,还行,不上不下,没着没落,一个萝卜一个坑,过得去,1
四根柱头起高楼，水阁凉亭在高头，人人都说皇帝大，皇帝见它也低头。 （打一物品）,五斗橱,茶盘,脸盆架,躺柜,木床,2
赡养双亲 （打一成语）,得罪,衣食父母,公仆,有奶便是娘,将心比心,1
头戴大红帽，身穿五彩衣，很早就唱歌，催着太阳起。 （打一动物）,公鸡,大白鹅,下蛋,鸭子,黄鼠狼,0
尾巴长，毛茸茸，体形娇小爱上树。 （打一动物）,鹦鹉,松鼠,猫头鹰,兔子,小动物,1
身体白又胖，常在泥中藏，浑身是蜂窝，生熟都能尝 （植物）,藕,荸荠,冬笋,茭白,茨菇,0
乡史 （五字电影）,拉家常,婶子,摆龙门阵,董金合,村里的故事,4
宝剑出鞘 （打一成语）,桀骜,孤傲,不可一世,锋芒毕露,指点江山,3
师恩难忘 （歌曲名）,可怜的秋香,半个月亮爬上来,一首桃花,教我如何不想他,卖布谣,3
鬼把戏 （打一成语）,人心叵测,当局者迷，旁观者清,不可捉摸,变化无常,冷暖,3
雀栖枝头伴寒山 （中国电影）,火工头陀,罗汉堂,少林寺,道士,水浒,2
环境大使披花衣，浑身黑斑小而密；猫科动物奢侈皮，奸商欲往身上披。 （打一动物）,狼,兀鹫,棕熊,猞猁,雪豹,4
头像琵琶身像弓，汤家做事，除我不成功。 （打一物）,盐,生抽,色拉油,汤匙,白糖,3
上山住过，火里烧过，只怕水过。 （打一物）,石灰,小苏打,黄泥,硫磺粉,乳白胶,0
它是一位游泳家，说话老是呱呱呱，小时有尾没有脚，长大有脚没有尾巴。 （打一动物）,青蛙,乌龟,狒狒,水獭,小鸭子,0
架子空中悬，绳子挂两边，有人来驾驭，来回画弧圈。 （打一物）,滑滑梯,秋千,毽子,沙池,游乐场,1
皎皎青天，一轮明月，两个对谈，一个不语。 （打一物）,天花板,窗户,镜子,台灯,墙壁,2
儿童不能受任 （打一称谓）,工商联,政协,同志,人大常委,党代表,3
玉人何处教吹萧 （打一称谓）,脚夫,寻呼小姐,电话约会,嘚吧嘚先锋相声团,伯伯,1
红叶日暮舟歇岸 （唐诗目一）,寄扬州韩绰判官,枫桥夜泊,望月怀远,千古名诗,姑苏城外寒山寺,1
披角大块头，爱伏在河边，血盆口一开，噬者当遭殃。 （打一动物）,蜥蜴,鳄鱼,掠食者,蟒蛇,乌龟,1
小小模样似黄菊，触手长刺捕小鱼。 （打一动物）,乌贼,蜘蛛蟹,螳螂虾,章鱼,海葵,4
赞不绝口 （打二字称谓）,大哥,嫂子,堂客,阿叔,老表,4
门外相公急急敲，房内小姐心中焦，若是二人相见面，小姐性命定难逃。 （打一动物）,小云雀,啄木鸟,七星瓢虫,松鸭,猫头鹰,1
上课守身边，放学上我肩，别看个儿小，学问真不浅。 （打一物）,背篓,书包,上学,作业本,文具盒,1
优质可可 （打一常言俗语三字）,行行好,帮帮忙,消消气,让让,求你了,0
下一日赏菊 （打一成语）,走马观花,匆匆而过,短暂停留,随便翻翻,照本宣科,0
打起高柄伞，穿起麻布衣，生来不怕热，为何脱我衣。 （打一植物）,白千层,热带植物,乌桕,棕榈,桉树,3
引出湖水广植林 （农作物一）,苜蓿,白芋,荞麦,胡麻,糜子,3
房屋外表 （打一成语）,报答,出生入死,赴汤蹈火,义无反顾,在所不辞,4
铁打硬汉子，锋利尖脚底，头载扁平帽，会钻又会挤。 （打一物）,老虎钳,铁板,锉刀,钉子,榔头,3
龟甲兽骨驻足看 （打一古代著作）,古文观止,二十四史,论语,名著,曾国藩全书,0
织女为谁弄丝弦 （打一成语）,食古不化,离题万里,人话,扯谈,对牛弹琴,4
因有六甲未践约 （打一成语）,一事无成,李广难封,怀才不遇,孤芳自赏,雄心大志,2
越猜越不对头 （打一成语）,坐怀不乱,香艳,想入非非,神魂颠倒,人间尤物,2
旧账还清 （打成语一）,恩断义绝,一笔勾销,你我之间,两清,各不相干,1
巧解谜中谜 （民乐名曲一）,天外飞龙,间不容发,梭子,铿铿锵锵,连环扣,4
南海来了个软大姐，没有骨头没有血。 （打一动物）,海蜇,文蛤,牡蛎,淡菜,墨鱼,0
十个孩子八个好谜 （打一成语）,两小无猜,萝莉与大叔,同桌的你,生死恋,爱情故事,0
一曲颂中华 （歌曲名）,北京的金山上,爱我中华,咱们工人有力量,歌唱祖国,走进新时代,3
泪沾红抹胸 （打一成语）,星移斗转,人文荟萃,一衣带水,渊源流长,多难兴邦,2
干杯 （歌曲名）,祖国颂,室内乐,女子合唱团,朗诵会,春之声,4
新开食堂 （打一成语）,坐以待毙,大刀阔斧,制衡,垮台,另起炉灶,4
序跋之分 （六字俗语）,自说自话,前言不搭后语,笨嘴笨舌,颠三倒四,答非所问,1
汉书高后纪 （打一古代著作）,史记,汉书,战国策,吕氏春秋,尸子,3
把话说开了 （打一成语）,座无虚席,人声鼎沸,喧闹,车水马龙,熙熙攘攘,1
长着四条腿，走路却不会，用途可不少。 （打一家具）,桌子,书架,写字台,沙发,木床,0
绣楼等送碑帖来 （打一成语）,待字闺中,豆蔻年华,出阁,徐娘半老,云英未嫁,0
平时不注意 （中国电影）,逮捕罪犯,黑客,反恐怖活动,元首,特殊警察,4
吃得苦中苦 （打一成语）,人才出众,名满天下,生得,文武双全,待字闺中,0
忌吃糖果 （打成语一）,戚戚,英雄气短,人困马乏,食不甘味,交迫,3
两点确定一直线 （外国歌曲）,电话,客户群体,星星索,小灵通,数字商标,2
银燕把它撒下来，好似花儿满天开，又像亭子空中立，飘飘悠悠落下来。 （打一物）,降落伞,手榴弹,直升机,翼装,热气球,0
只采花，不酿蜜，花花公子没出息。 （打一动物）,蜻蜓,一只小蜜蜂,花儿,瓢虫,蝴蝶,4
腿细长，脚瘦小，戴红帽，穿白袍（打一动物名）,鹭鸶,寒山,云天,蝉,鹤,4
根系强大称天罗，老了用来刷铁锅。 （打一蔬菜）,豆角,莴笋,茄子,丝瓜,油麦菜,3
杨柳丝丝送故人 （打一唐诗目）,春望,回乡偶书,垂老别,兵车行,石壕吏,2
八月黄金桂 （打一经济作物）,玉米灌浆期,谷子,秋花生,晚播麦,水稻,2
小衣服，一大摞，每天给它脱一件。 （打一生活用品）,书签,日历,贺卡,效率手册,明信片,1
打算取消会议 （打俗语三字）,烦心事,以泪洗面,没出息,想不开,一走了之,3
虎头纹 （中国电影）,福临门,高手,新明星,王中王,双料冠军,3
遍挿茱萸少一人 （打一电影）,望雪,疾风,独行客,呷茶赏花,梦红颜,2
遗失招领 （打一成语）,谦和,待人接物,品行,言谈举止,虚怀若谷,1
一个东西圆溜溜，滚在地上不是球，它在前面不停跑，孩子在后跟着走。 （打一物）,铃铛,铁环,老虎钳,木棍,弹弓,1
飞上天是鸟，抓老鼠是猫，夜里放哨，白天睡觉。 （打一动物）,负鼠,猫头鹰,几维鸟,长颈鹿,鹦鹉,1
圆圆形状似龙睛，一颗朱红值千金；红汁一流水灵灵，酸甜适口受欢迎。 （打一水果）,杨梅,枇杷,荔枝,青枣,胡柚,0
狗咬叫化子 （打一成语）,势利眼,瞧不起,爱面子,看人下菜碟,市侩,0
青梗，方梗，花茂，叶密，几扇花格子，格格花珠子。 （打一植物）,核桃仁,花生,蚕豆,青红丝,芝麻,4
前所未有 （打一小说名）,圣经,关仁山,羊的门,生命册,白鹿原,2
难得之情 （电视剧插曲一）,糊涂的爱,只要你过得比我好,中华民谣,命运不是辘轳,回头太难,0
上五泉商灯 （花卉树木）,枫树,牵牛花,葱葱茏茏,爬山虎,长春藤,3
看后令人感慨 （打成语一）,巧夺天工,耳目一新,啧啧称赞,拍案叫绝,叹为观止,4
人寿保险金 （花卉树木）,旱莲,蜀葵,虞美人,海棠,太平花,4
像猴无尾巴，身似黑铁塔，兽中最聪明，善于玩杂耍。 （打一动物）,猫科动物,卷尾猴,黑猩猩,长臂猿,负鼠,2
背着像个布疙瘩，撒在半空像朵花，腾云驾雾本领大，空军叔叔喜爱它 （军用物）,热气球,翼装,直升机,手榴弹,降落伞,4
为大家做事是聊天的职责 （打一称谓职务）,局长,正县级,书记,办公室主任,调研员,3
生的伟大，死的光荣。 （打一成语）,慎言谨行,忍辱负重,克己奉公,善始善终,胸怀坦荡,3
怀表 （歌曲名）,明天会更好,当兵的哥们,那就这样吧,舍不得你走,说句心里话,4
岁首春梅第一枝 （花卉树木）,扫帚草,指甲花,夹竹桃,毛茛,马齿苋,1
富含维C味极酸，烹饪榨汁好材料。 （打一水果）,金桔,柠檬,奇异果,柳橙,菠萝,1
限时十五分 （打一成语）,当务之急,任重道远,为时未晚,刻不容缓,亡羊补牢,3
知不知道 （打一成语）,只字不提,指控,驳斥,含糊其辞,矢口否认,4
春节离家除夕回 （打一成语）,喜气洋洋,寻宝,来到这里,满载而归,一路平安,3
小小一株稻，风吹身子摇，开花多结果，果子像毛桃。 （打一植物）,一串红,美人蕉,木芙蓉,夹竹桃,凤仙花,4
远看是星星，近看像灯笼，仔细看一看，原来是只虫。 （打一动物）,月亮,蝴蝶,萤火虫,繁星,飞蛾,2
岁前立春 （打一称谓）,老先生,青年,女记者,草根,异乡人,1
拉帮结派 （打二字称谓）,围观,丫丫,不少,网友,明星,3
上山劈竹，平地盖屋，抬脚过墙，低头进屋。 （打一物）,家丁,马车,吹吹打打,李府,轿子,4
血盆大口露尖牙，浑身布满硬盔甲；长尾短腿就是它，恐怖神态把人吓。 （打一动物）,蟒蛇,乌龟,掠食者,鳄鱼,蜥蜴,3
雨过山横翠 （饮料）,雪碧,可乐,酸奶,啤酒,美年达,0
一沾酒就上脸 （打四字电视剧名）,杨门虎将,至尊红颜,绝色双娇,义不容情,家有仙妻,1
外壳长刺不刺人，六至八月把果摘。 （打一水果）,山竹,木菠萝,番荔枝,红毛丹,释迦果,3
叶脉 （中国电影）,草地,蓝莹莹,爬山虎,织成,绿色的网,4
爱护花木，勿栓牲口。 （打一成语）,赫赫有名,不折不扣,众望所归,然而,货真价实,1
路上行，水里开，它的速度实在快，不是飞机和火箭，却能腾空飞起来。 （打一物）,护卫舰,浮箱,气垫船,潜水艇,直升机,2
改革方能除贫困 （打成语一）,诡秘莫测,变化无穷,刚柔相济,包罗万象,奇绝,1
白白一片似雪花，落进水里不见它。单独吃它难下咽，长久不吃白头发。 （打一食物）,味精,五香粉,白糖,蚝油,盐,4
立等印章 （打一成语）,刻不容缓,当务之急,任重道远,亡羊补牢,为时未晚,0
霸王别姬 （打一古代著作）,诗经,文心雕龙,离骚,楚辞,汉赋,3
夫坐东来妻坐西，太阳一出结夫妻，太阳失落西山去，拆开姻缘去两边。 （打一物）,珍珠项链,耳坠,头饰,假发套,琥珀,1
出名就乱性 （打二字中药名）,地黄,野菊,郁金,芍药,红花,4
深夜呱呱坠地 （打一称谓）,令郎,世兄,犬子,晚生,小侄,3
尽是谜底 （打成语一）,四分五裂,七零八落,面目全非,破碎,时过境迁,2
入坑下窑规则明 （打一成语）,随心所欲,能干,一尘不染,家庭事务,井井有条,4
一个小黑人，爱进洗澡盆，越洗越肮脏，逐渐变矮人。 （打一文具）,墨锭,印泥,澄心堂纸,砚台,毛笔,0
尸魔戏唐僧 （牡丹品种）,宜春仙,娇容三变,朱砂垒,花二乔,绿香球,1
小伙子，长得楞，生下来，就会蹦，不像样，不姓他爹的姓（打一动物名）,骡子,母马,驴,牲口,骆驼,0
露天存放 （打成语一）,寻花问柳,见异思迁,不安于室,善妒,到处留情,2
腿儿高又高，身穿花色袍，只因脖子长，专门吃树梢。 （打一动物）,北极熊,河马,动物园里,羊驼,长颈鹿,4
像龙不是龙，头顶一点红，喷云又吐雾。 （打一物）,苍蝇拍,敌敌畏,蟑螂药,蚊香,火柴,3
外套改马甲 （打一成语）,标本兼治,两手抓,立竿见影,一石二鸟,双管齐下,4
真动脑筋 （打成语一）,大喜过望,异口同声,不假思索,斩钉截铁,当即,2
风和日丽 （打中国小说名一）,春光无限好,艳阳天,风和日丽,乍暖还寒时候,鸟语花香,1
头发三九黑 （中药名）,毛冬青,紫丹参,茜草根,桑寄生,穿山龙,0
法官偷东西（打一成语）,官官相护,知法犯法,严惩不贷,罪加一等,渎职,1
此曲只应天上有·掉首格 （兰花品种）,花二乔,宜春仙,金岙素,娇容三变,翠一品,1
高粱果儿红彤彤，心形外观味儿浓。 （打一水果）,猕猴桃,哈密瓜,草莓,火龙果,提子,2
解手者中，一部分是去撒尿 （打成语一）,对症下药,有的放矢,知己知彼,不打无准备之仗,抓住细节,1
马列主义 （打一古代著作）,晏子春秋,太史公自序,竹书纪年,左传,战国策,3
一树古梅翻倒影，两行雁字挂斜空 （中药）,核桃,肉桂,扁豆,燕麦片,杏仁,4
笔恣汪洋 （打一书名）,辞海,现代汉语词典,二十四史,线装书,说文解字,0
垂帘听政 （打成语一）,后来居上,站稳脚跟,并驾齐驱,高歌猛进,一鸣惊人,0
指天化地 （打成语一）,兽性大发,就地正法,拉拉扯扯,上下其手,色迷心窍,3
只听弦响，不见箭来 （打一成语）,虚张声势,故作姿态,拖延时间,外强中干,诱敌,0
一条小小虫，自己做灯笼，躲在灯笼里，变个飞仙女。 （动物）,蜈蚣,蚕,蚌,蟒,蟾蜍,1
长的有两条，短的占多数，短的脚踩稳，长的手把住。 （打一物）,麻袋,铁锹,木板,梯子,吊绳,3
